Hour,Mean_HR,Min_HR,Max_HR
1,105.10598847811627,68.18181818181819,153.0612244897959
2,101.7472498520808,68.18181818181819,156.25
3,103.27259532905403,63.02521008403362,182.92682926829266
4,103.55382343208696,75.75757575757575,131.57894736842104
5,92.1162020754224,64.6551724137931,133.92857142857142
6,99.55728842661622,64.6551724137931,144.23076923076923
7,96.15978616881691,68.80733944954129,125.0
8,92.03440827500431,62.5,127.11864406779662
9,74.6459935273433,51.369863013698634,129.3103448275862
10,77.02820061319196,50.0,129.3103448275862
11,73.37075082989108,49.66887417218543,127.11864406779662
12,72.97598148568554,50.67567567567568,122.95081967213115
13,74.46078439346874,49.3421052631579,129.3103448275862
14,73.84244079369694,52.083333333333336,125.0
15,88.52816114193801,51.02040816326531,150.0
16,78.74404849969052,55.97014925373134,131.57894736842104
17,85.011386283075,58.59375,138.88888888888889
18,82.95624978920773,59.05511811023622,150.0
19,93.51198318562595,59.523809523809526,144.23076923076923
20,105.5684422096991,72.81553398058253,150.0
21,102.84549228118415,75.75757575757575,156.25
22,106.43966329299921,73.52941176470588,166.66666666666669
